,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.8297413793103448,0.8505481823427582,0.8668171557562077,0.7748156551332954,0.7461873638344226,0.8131696428571429,0.8136219472754057,0.8135893636984921
precision,0.8037578288100209,0.8773809523809524,0.8767123287671232,0.7877739331026529,0.7294994675186368,0.8131696428571429,0.8150249021158771,0.8149590253899834
recall,0.8574610244988864,0.8253079507278835,0.8571428571428571,0.7622767857142857,0.7636566332218506,0.8131696428571429,0.8131690502611526,0.8131696428571429
support,898.0,893.0,896.0,896.0,897.0,0.8131696428571429,4480.0,4480.0
