,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.7646420824295012,0.6975130133024869,0.726211325160537,0.5275099262620534,0.6080586080586081,0.6642857142857143,0.6647869910426374,0.664752638885073
precision,0.7452431289640592,0.7212918660287081,0.7603911980440098,0.5369515011547344,0.5729783037475346,0.6642857142857143,0.6673711995878092,0.6672989114776977
recall,0.7850779510022272,0.6752519596864501,0.6949720670391062,0.5183946488294314,0.6477146042363434,0.6642857142857143,0.6642822461587117,0.6642857142857143
support,898.0,893.0,895.0,897.0,897.0,0.6642857142857143,4480.0,4480.0
