,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.8439306358381503,0.8441273326015368,0.8624454148471614,0.7404494382022471,0.751694393099199,0.8104910714285715,0.8085294429176588,0.8084705717895116
precision,0.799800796812749,0.8233404710920771,0.8458244111349036,0.7471655328798186,0.8402203856749312,0.8104910714285715,0.8112703195188959,0.8112343549866206
recall,0.8932146829810901,0.865990990990991,0.8797327394209354,0.7338530066815144,0.6800445930880713,0.8104910714285715,0.8105672026325204,0.8104910714285715
support,899.0,888.0,898.0,898.0,897.0,0.8104910714285715,4480.0,4480.0
