,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.823405376910912,0.8004484304932735,0.8207762557077625,0.6850523993381137,0.7199533255542591,0.7705357142857143,0.769927157600864,0.7699330509632615
precision,0.7817817817817818,0.7986577181208053,0.8429073856975381,0.6772082878953108,0.7552019583843329,0.7705357142857143,0.7711514263759538,0.7711638240032564
recall,0.8697104677060133,0.802247191011236,0.7997775305895439,0.6930803571428571,0.6878483835005574,0.7705357142857143,0.7705327859900415,0.7705357142857143
support,898.0,890.0,899.0,896.0,897.0,0.7705357142857143,4480.0,4480.0
