,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.6048020765736535,0.7281993204983014,0.6871310507674144,0.58098223615465,0.5819070904645477,0.634375,0.6366043548917134,0.6364539359473599
precision,0.7202472952086554,0.7348571428571429,0.7302383939774153,0.547244094488189,0.519650655021834,0.634375,0.6504475163106472,0.6501771031183121
recall,0.5212527964205816,0.7216610549943884,0.6488294314381271,0.6191536748329621,0.6611111111111111,0.634375,0.634401613759434,0.634375
support,894.0,891.0,897.0,898.0,900.0,0.634375,4480.0,4480.0
