,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.7977839335180057,0.7505446623093682,0.8168557536466775,0.5990396158463385,0.7436182019977803,0.7441964285714285,0.741568433463634,0.7415653834716066
precision,0.7912087912087912,0.7291005291005291,0.7941176470588235,0.6488946684005201,0.7411504424778761,0.7441964285714285,0.740894415649308,0.740911566778286
recall,0.8044692737430168,0.7732884399551067,0.8409343715239155,0.5562987736900781,0.7461024498886414,0.7441964285714285,0.7442186617601517,0.7441964285714285
support,895.0,891.0,899.0,897.0,898.0,0.7441964285714285,4480.0,4480.0
