,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.821505376344086,0.804692082111437,0.8282138794084186,0.7188649500788229,0.7197231833910034,0.778125,0.7785998942667536,0.7785780878863807
precision,0.7950052029136316,0.841717791411043,0.8455284552845529,0.6805970149253732,0.7446300715990454,0.778125,0.7814957072267291,0.781393348152044
recall,0.8498331479421579,0.7707865168539326,0.8115942028985508,0.7616926503340757,0.6964285714285714,0.778125,0.7780670178914576,0.778125
support,899.0,890.0,897.0,898.0,896.0,0.778125,4480.0,4480.0
