,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.763265306122449,0.7147505422993492,0.7407407407407407,0.5610448608745031,0.5926814637072585,0.6774553571428571,0.6744965827488602,0.6742279233290446
precision,0.7023474178403756,0.6915005246589717,0.7673860911270983,0.5737514518002322,0.6440677966101694,0.6774553571428571,0.6758106564073694,0.6756268739900151
recall,0.8357541899441341,0.7396184062850729,0.7158836689038032,0.5488888888888889,0.5488888888888889,0.6774553571428571,0.6778068085821577,0.6774553571428571
support,895.0,891.0,894.0,900.0,900.0,0.6774553571428571,4480.0,4480.0
