,Bald,Black_Hair,Blond_Hair,Brown_Hair,Gray_Hair,accuracy,macro avg,weighted avg
f1-score,0.8241985522233712,0.8259061200237671,0.8718238283455675,0.7809110629067246,0.7199074074074074,0.8049107142857143,0.8045493941813676,0.8045143408053991
precision,0.770048309178744,0.879746835443038,0.8812785388127854,0.759493670886076,0.7484957882069796,0.8049107142857143,0.8078126285055246,0.807709530664141
recall,0.8865406006674083,0.7782754759238522,0.8625698324022346,0.8035714285714286,0.693422519509476,0.8049107142857143,0.8048759714148801,0.8049107142857143
support,899.0,893.0,895.0,896.0,897.0,0.8049107142857143,4480.0,4480.0
