,MLA Name,MLA Test Accuracy Mean,Run Time,MLA pred
1,ExtraTreesClassifier,0.9122249278499279,0.13207559585571288,"['0.0' '1.0' '1.0' '1.0' '0.0' '0.0' '1.0' '1.0' '0.0' '0.0' '1.0' '0.0'
 '0.0' '0.0' '0.0' '0.0' '0.0' '1.0' '0.0' '1.0']"
0,SVC,0.8887662337662338,0.0036777496337890626,"['0.0' '1.0' '1.0' '1.0' '0.0' '0.0' '1.0' '1.0' '0.0' '0.0' '1.0' '0.0'
 '0.0' '0.0' '0.0' '1.0' '0.0' '1.0' '0.0' '1.0']"
2,RandomForestClassifier,0.8886598124098125,0.1699306011199951,"['0.0' '1.0' '1.0' '1.0' '0.0' '0.0' '1.0' '0.0' '0.0' '0.0' '1.0' '0.0'
 '0.0' '0.0' '0.0' '1.0' '0.0' '1.0' '0.0' '1.0']"
